model_run;-8_1;-7_1;-6_1;-5_1;-7_2;-5_2;-4_2;1-3_2;1.8-3_2;3-3_2;4-3_2;-7_3;-5_3;-4_3;1-3_3;1.8-3_3;3-3_3;4-3_3;-7_4;-5_4;-4_4;1.8-3_4;rch;offset;complete;ME;50E;MAE;50AE;RBIAS;r_rank;r_lin;n_5m;n_3m;n_1m
3883;468.9895;34.428658;358.58514;58.737362;441.335;83.87091;4.9773154;0.037091024;1.0810226;0.5429662;1.1625459;308.57425;32.51939;0.54319966;0.037091024;0.94529676;0.5429662;1.0910975;29.30651;32.51939;9.695934;0.43427885;0.8754795;0.0;0;-21.432496229647697;-14.292865966517269;21.887107093094727;14.292865966517269;-1.0;;;0.15384615384615385;0.10256410256410256;0.05128205128205128
3884;974.69763;504.70483;508.5762;35.043514;806.9005;28.08236;4.75645;1.8723614;1.0798266;0.35418376;1.907704;569.8288;28.08236;0.14042948;1.2360137;1.0798266;0.35418376;1.8750312;88.01477;22.438927;5.786757;1.0798266;0.77881604;0.0;0;-20.836586412797377;-14.408700898710833;21.22617037106026;14.408700898710833;-1.0;;;0.1794871794871795;0.1282051282051282;0.07692307692307693
3885;48.92619;161.43202;574.24585;71.5252;458.31778;66.69445;9.615762;1.7274212;0.59553474;0.99914783;1.8719879;388.84186;7.151729;4.172003;0.5832015;0.546905;0.99914783;0.29356474;62.015697;7.151729;7.8062124;0.41381672;1.1152616;0.0;0;-12.57857976030743;-6.858197041222155;13.482992577881287;6.9619007580043615;-1.0;;;0.38461538461538464;0.28205128205128205;0.10256410256410256
3886;987.02325;57.301754;991.02563;57.970684;615.26935;41.567696;8.624279;0.9261802;0.31918243;0.91018176;1.7460625;615.26935;41.567696;6.029788;0.9261802;0.31918243;0.91018176;1.1897703;61.376392;41.567696;3.516708;0.31918243;0.96860445;0.0;0;-10.142696784421288;-10.745073426883721;10.566510306569395;10.745073426883721;-1.0;;;0.3076923076923077;0.1794871794871795;0.05128205128205128
3887;850.89764;602.5255;900.8961;16.08835;364.4414;10.208209;3.8349564;0.020736054;0.3754883;1.3491603;1.5451589;364.4414;10.208209;8.769089;0.020736054;0.3754883;0.94770724;0.27329418;31.74189;10.208209;4.6142225;0.3754883;0.9963084;0.0;0;-6.435685900844478;-4.601804245091131;7.0992702024817635;4.675571959078042;-1.0;;;0.5384615384615384;0.28205128205128205;0.07692307692307693
3888;929.64075;779.1527;698.90784;68.65826;717.6829;63.007507;6.538178;1.1717033;1.4430857;1.0703002;0.09098061;717.6829;22.97298;5.9713;1.1717033;1.4430857;0.42617914;0.09098061;41.824406;22.97298;4.242371;1.4430857;0.7604088;0.0;0;-16.82929135498172;-11.070761377062524;18.079392456785683;11.070761377062524;-1.0054057292342837;-0.14413751513293843;-0.10759648641787488;0.28205128205128205;0.1794871794871795;0.10256410256410256
3889;262.2247;45.69995;162.20604;78.4152;161.61024;38.367077;0.21412373;1.6353562;0.9414133;0.99491626;0.8172071;161.61024;38.367077;4.8793287;0.8926332;0.9414133;0.99491626;0.7688973;17.091095;38.367077;7.5138984;0.9414133;0.8659221;0.0;0;-17.765158382591345;-13.13802125557848;18.036808130268728;13.13802125557848;-1.0;;;0.1794871794871795;0.10256410256410256;0.07692307692307693
3890;151.0335;785.75336;919.83826;6.6808195;524.9145;63.462914;0.21929835;0.57928085;0.9440427;0.9667818;1.5609132;408.6453;58.818222;1.767043;0.57928085;0.9440427;0.68207145;0.566584;38.507015;9.008435;1.5552241;0.08994408;0.8921403;0.0;0;-0.9526163077592716;-2.2149948313122536;5.975210399440401;4.544952121541968;-1.054843592918017;-0.292139199051897;-0.15404843995195816;0.5641025641025641;0.3076923076923077;0.07692307692307693
3891;666.6821;709.324;893.6602;61.035065;193.27823;54.03637;3.192536;0.35374355;1.9537276;1.0134473;1.935307;193.27823;54.03637;1.5827377;0.35374355;0.9893881;1.0134473;0.5748637;97.57679;51.214573;4.807979;0.36940834;1.0093275;0.0;0;-11.971443801423277;-6.7738036423969845;12.641869337846414;6.964201262279062;-1.0;;;0.3333333333333333;0.20512820512820512;0.10256410256410256
3892;520.70087;754.46704;887.8364;79.06392;473.90622;4.255353;7.5501223;1.8102709;1.8367151;1.7456026;0.9298681;382.87955;4.255353;6.117135;1.8102709;0.81929815;0.8580173;0.24614966;64.90716;4.255353;0.44268537;0.81929815;0.9560803;0.0;0;5.348769076132146;1.1307780477673361;8.138304971302803;3.276748002163231;-1.5694782157477567;-0.2866946410652298;-0.4532201844881553;0.5897435897435898;0.48717948717948717;0.1282051282051282
