ID;x-coordinate;y-coordinate;cell_x;cell_y;municipality;purpose;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;annual_average;layer;Name
40/020-3;399318.67;5308094.22;59;356;Bad Krozingen;oeffentliche Wasserversorgung;15102;16166;16450;22895;22460;23026;38925;74587;72791;75245;87714;115.9054795;2;
4004/070-0;402017.57;5307180.6;113;374;Bad Krozingen;Beregnung;3697;2238;23691;4695;8214;12596;13482;14988;2533;7608;9657;25.75315068;2;
4005/070-6;402427.43;5307422.5;121;369;Bad Krozingen;Beregnung;8035;5638;14037;14362;14012;9055;12000;13934;0;7592;6957;26.30684932;2;
4006/070-1;403762.86;5306146.01;148;395;Bad Krozingen;Beregnung;0;0;0;1140;0;0;5531;8117;0;4244;3414;5.590410959;2;
4007/070-7;403023.19;5309474.67;133;328;Bad Krozingen;Beregnung;5953;3910;3278;2497;3239;2445;1702;292;3494;5787;6042;9.623561644;2;
4013/070-1;412705.3;5309532.63;327;327;Wittnau;oeffentliche Wasserversorgung;42179;53806;39734;27685;17213;20818;12409;13345;19418;16743;16989;69.8230137;2;
4015/070-2;412243.48;5309999.45;318;318;Wittnau;oeffentliche Wasserversorgung;20986;15555;10736;13217;9359;6859;6571;6270;5548;6734;1576;25.75616438;2;
4048/070-8;401180.93;5310313.35;96;312;Bad Krozingen;Beregnung;87370;36990;147030;111895;106155;200150;126340;160350;59040;183470;135180;337.2279452;2;
4049/070-3;402833.27;5307880.32;130;360;Bad Krozingen;nicht ueberprueft;61907;64956;73124;;77828;44837;34654;28977;55852;32196;27179;137.4;2;
4050/070-0;403061.16;5308832.93;134;341;Bad Krozingen;Brauchwasserversorgung Landwirtschaft;3762;3866;3402;4064;3906;4252;2202;3434;3995;3775;4722;10.30630137;2;
4051/070-6;401675.72;5306723.78;106;383;Bad Krozingen;Beregnung;3629;625;10081;12616;14742;9700;9652;11154;1868;1730;10284;21.43972603;2;
4053/070-7;400344.24;5306006.05;80;398;Bad Krozingen;Beregnung;330;290;300;180;143;312;1345;2050;2880;2910;1816;3.12739726;2;
4060/070-7;403358.03;5311798.75;140;282;Schallstadt;Beregnung;400;505;;7438;11443;121;189;6377;17970;24410;28353;26.63178082;2;
4064/070-9;403037.16;5306651.79;134;385;Bad Krozingen;Kuehlwasserversorgung;85322;106938;101577;106698;107404;103902;98661;105428;113873;112873;104767;285.7890411;2;
4066/070-0;401989.61;5310351.34;113;311;Bad Krozingen;Waermepumpe (Entnahmestelle) ausgefuehrt;42851;55132;46801;58879;54297;51164;42442;39067;34451;32301;29759;121.3309589;2;
4068/070-0;402308.45;5312735.4;119;263;Schallstadt;Beregnung;781;1712;349;0;0;0;0;2460;0;0;0;1.320547945;2;
4087/070-8;402495.39;5310299.37;123;312;Bad Krozingen;Waermepumpe (Entnahmestelle) ausgefuehrt;1953;1695;1572;1576;1748;1498;1469;1326;1431;1370;1296;4.217808219;2;
4093/070-2;403056.15;5306686.78;134;384;Bad Krozingen;Waermepumpe (Entnahmestelle) ausgefuehrt;7900;5725;4574;9065;5722;8860;6725;7717;9459;15657;8539;22.40164384;2;
4095/070-3;402491.15;5307443.96;123;369;Bad Krozingen;Beregnung;6056;6400;32061;14800;14851;14881;14400;14875;2078;3801;7008;32.68027397;2;
4096/070-9;406582.75;5307384.51;205;370;Ehrenkirchen;Waermepumpe (Entnahmestelle) ausgefuehrt;4761;5064;5490;5634;4905;4593;4629;4299;5535;4236;4512;13.36438356;2;
41/020-9;399373.65;5308068.23;60;357;Bad Krozingen;oeffentliche Wasserversorgung;26596;30717;26808;22470;22061;21824;21480;0;0;86553;239421;124.0175342;2;
41/071-0;410482.21;5301745.79;283;483;Muenstertal/ Schwarzwald;Eigenwasserversorgung;7100;6199;6473;6857;7104;8002;7287;5499;5911;6080;6026;18.06684932;2;
