rno,k,i,j,rlen,rwid,rgrd,rtp,rbth,rhk,man,ncon,ustrf,ndv
70,1,137,132,2.84678669676668,0.673145600891813,0.419582876771869,659.933410644531,1,1.44,0.035,2,1,0
71,1,138,132,52.6101505156985,0.684653196881458,0.401747400017216,640.1669921875,1,1.44,0.035,2,1,0
72,1,138,131,39.920529901297,0.760345316287278,0.373047434895452,634.650024414062,1,1.44,0.035,2,1,0
73,1,139,131,44.0879564409944,0.770551750371122,0.321764807145405,616.672973632812,1,1.44,0.035,2,1,0
74,1,139,130,14.5326606725809,0.810092587300983,0.366418380505855,619.352966308594,1,1.44,0.035,2,1,0
75,1,140,130,58.6206171135753,0.81967981553775,0.350169872567976,599.960205078125,1,1.44,0.035,2,1,0
76,1,141,130,14.4923779337525,1.19242400177118,0.233526970253295,582.890380859375,1,1.44,0.035,2,1,0
77,1,141,129,50.1679424830178,1.21834929310112,0.251902898087032,577.457397460938,1,1.44,0.035,2,1,0
78,1,141,128,50.1679424830178,1.23110722522451,0.27593506160929,572.616821289062,1,1.44,0.035,2,1,0
79,1,141,127,50.0938988401757,1.23743686707646,0.30057371381102,563.109802246094,1,1.44,0.035,2,1,0
