c1;c2;c3;c4;rch;offset;complete;ME;50E;MAE;50AE;RBIAS;r_rank;r_lin;n_5m
66.9847;76.3014;53.632496;53.632496;0.91631687;0.0;0;-32.87860231277666;-17.483640704653254;33.218098396198;17.483640704653254;-1.096479385066324;0.20179252118611385;0.18967942390624515;0.02564102564102564
43.72082;24.081888;1.503545;1.503545;1.1896257;0.0;0;-21.149756432393442;-7.084768879739158;23.140479364859512;7.4163547544565915;-1.1040040678522376;0.4847204342163712;0.21397789716324403;0.38461538461538464
83.26949;15.08291;15.08291;15.08291;0.80108345;0.0;0;-35.07978795328337;-18.600261149293573;35.321626530598394;18.600261149293573;-1.0613509245722497;0.20179252118611385;0.18967942390624515;0.05128205128205128
70.02951;31.630108;31.630108;10.03888;1.22915;0.0;0;-34.64316773603868;-19.912120709951523;34.64316773603868;19.912120709951523;-1.0;;;0.05128205128205128
31.24354;39.80108;39.80108;39.80108;0.80374825;0.0;0;-35.998634240772624;-19.58860989133416;36.31568358584276;19.58860989133416;-1.0884050506620413;0.20179252118611385;0.18967942390624515;0.02564102564102564
83.22766;24.58601;24.58601;24.58601;0.93101585;0.0;0;-35.496040963167985;-19.15578169567206;35.74764254488263;19.15578169567206;-1.064862782779879;0.20179252118611385;0.18967942390624515;0.05128205128205128
80.478386;99.88917;47.133522;47.133522;1.053153;0.0;0;-33.05218617093346;-16.001488135377315;33.350033967045825;16.001488135377315;-1.0814980459587453;0.20179252118611385;0.18967942390624515;0.05128205128205128
38.753963;22.972937;22.972937;9.371204;1.1689208;0.0;0;-32.63515804558953;-17.568703510080667;32.99972800859539;17.568703510080667;-1.105498730568133;0.20179252118611385;0.18967942390624523;0.05128205128205128
28.839928;83.06518;42.83627;33.866684;0.8217914;0.0;0;-32.785414760020636;-14.916242468585637;33.247321066218504;14.916242468585637;-1.1405116652905833;0.20179252118611385;0.18967942390624515;0.07692307692307693
68.25272;15.920183;15.920183;15.920183;0.8205511;0.0;0;-34.80939590240263;-19.400175057954726;35.11183158904232;19.400175057954726;-1.0831483597704175;0.20179252118611385;0.1896794239062452;0.02564102564102564
13.9838505;98.02466;70.54716;70.54716;1.0641891;0.0;0;-34.81404897319576;-17.075436516661;35.1561939080424;17.075436516661;-1.097432205554561;0.20179252118611385;0.18967942390624515;0.02564102564102564
19.998821;22.560091;0.13736188;0.13736188;0.89637333;0.0;0;-20.043289623080607;-6.121872108810038;23.17036635219174;6.81154933388413;1.0254797755732459;0.4862580089482233;0.2796404131265797;0.3076923076923077
0.74615335;42.174637;2.3377154;2.3377154;1.0722511;0.0;0;-24.040584657987793;-9.494278750142229;25.82935038487445;9.612451708506029;-0.7712467860125426;0.3394110335863994;0.20085806390420347;0.3333333333333333
78.694565;55.86082;55.86082;51.72308;1.1602916;0.0;0;-35.77065151190253;-19.585189172955495;36.09761822780583;19.585189172955495;-1.0919724361443015;0.20179252118611385;0.18967942390624515;0.02564102564102564
66.488434;12.037369;12.037369;12.037369;0.7884353;0.0;0;-34.55922256392658;-18.488997791106755;34.8005142474588;18.488997791106755;-1.0611542009673811;0.20179252118611385;0.18967942390624515;0.05128205128205128
70.519485;81.68384;81.68384;81.68384;1.172247;0.0;0;-35.89868033103983;-19.595270126415187;36.247743444055054;19.595270126415187;-1.0999207490180993;0.20179252118611385;0.18967942390624515;0.02564102564102564
78.075096;27.475807;17.30981;17.30981;0.7687927;0.0;0;-34.252477901166635;-14.989842617753538;34.4750563899466;14.989842617753538;-1.054422862550273;0.20179252118611385;0.18967942390624515;0.07692307692307693
45.896988;54.931496;1.3925531;1.3925531;1.1994131;0.0;0;-23.403702763057975;-8.825181768588834;25.79044194674377;9.233779372148774;0.3782973999002242;0.3394110335863994;0.2263067263819886;0.28205128205128205
56.878433;54.967884;38.814354;38.814354;1.2378091;0.0;0;-34.16147135131755;-17.439550317249683;34.44425425648049;17.439550317249683;-1.0760790418528232;0.20179252118611385;0.18967942390624515;0.02564102564102564
13.988302;60.26804;60.26804;60.26804;1.0837276;0.0;0;-36.110831192550826;-19.588296590288394;36.42071155311784;19.588296590288394;-1.085826289449087;0.20179252118611385;0.18967942390624515;0.02564102564102564
11.461862;5.558044;5.558044;5.558044;1.2421277;0.0;0;-27.00978354409327;-15.995094645206308;27.591649113647925;15.995094645206308;-1.1836623089199598;0.20179252118611385;0.18967942390624515;0.07692307692307693
