per,nseg,icalc,outseg,iupseg,iprior,nstrpts,flow,runoff,etsw,pptsw,roughch,roughbk,cdpth,fdpth,awdth,bwdth,hcond1,thickm1,elevup,width1,depth1,thts1,thti1,eps1,uhc1,hcond2,thickm2,elevdn,width2,depth2,thts2,thti2,eps2,uhc2
0,34,1,181,0,0,0,0.0,0.0,0.0,0.0,0.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,244.06,12.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,231.76721,11.8,0.0,0.0,0.0,0.0,0.0
0,35,1,189,0,0,0,0.0,0.0,0.0,0.0,0.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,209.65001,4.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,209.16292,4.55,0.0,0.0,0.0,0.0,0.0
0,36,1,189,0,0,0,0.0,0.0,0.0,0.0,0.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,236.41,4.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,217.77295,4.55,0.0,0.0,0.0,0.0,0.0
0,37,1,189,0,0,0,0.0,0.0,0.0,0.0,0.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,230.34,4.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,207.70386,4.55,0.0,0.0,0.0,0.0,0.0
0,38,1,189,0,0,0,0.0,0.0,0.0,0.0,0.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,230.48,4.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,214.46019,4.55,0.0,0.0,0.0,0.0,0.0
0,39,1,197,0,0,0,0.0,0.0,0.0,0.0,0.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1167.3201,10.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,931.01996,10.34,0.0,0.0,0.0,0.0,0.0
0,40,1,197,0,0,0,0.0,0.0,0.0,0.0,0.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1150.4401,10.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,992.48,10.34,0.0,0.0,0.0,0.0,0.0
0,41,1,201,0,0,0,0.0,0.0,0.0,0.0,0.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1174.64,4.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,780.795,8.89,0.0,0.0,0.0,0.0,0.0
0,42,1,201,0,0,0,0.0,0.0,0.0,0.0,0.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1259.9701,4.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,815.5682,4.52,0.0,0.0,0.0,0.0,0.0
0,43,1,201,0,0,0,0.0,0.0,0.0,0.0,0.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1353.14,6.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,962.94,6.55,0.0,0.0,0.0,0.0,0.0
0,44,1,201,0,0,0,0.0,0.0,0.0,0.0,0.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1175.25,2.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,687.70996,10.1,0.0,0.0,0.0,0.0,0.0
0,45,1,201,0,0,0,0.0,0.0,0.0,0.0,0.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1217.405,6.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,860.9657,6.55,0.0,0.0,0.0,0.0,0.0
0,46,1,201,0,0,0,0.0,0.0,0.0,0.0,0.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1197.92,6.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,881.95996,6.55,0.0,0.0,0.0,0.0,0.0
0,47,1,201,0,0,0,0.0,0.0,0.0,0.0,0.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1360.52,6.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,965.9725,6.55,0.0,0.0,0.0,0.0,0.0
0,48,1,201,0,0,0,0.0,0.0,0.0,0.0,0.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1254.0701,6.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1013.18,6.55,0.0,0.0,0.0,0.0,0.0
0,49,1,201,0,0,0,0.0,0.0,0.0,0.0,0.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,972.33997,11.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,684.88,10.76,0.0,0.0,0.0,0.0,0.0
0,50,1,201,0,0,0,0.0,0.0,0.0,0.0,0.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1064.77,10.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,698.83997,10.1,0.0,0.0,0.0,0.0,0.0
0,51,1,201,0,0,0,0.0,0.0,0.0,0.0,0.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1085.43,10.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,726.99,10.1,0.0,0.0,0.0,0.0,0.0
0,52,1,201,0,0,0,0.0,0.0,0.0,0.0,0.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1072.6501,4.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,760.8141,10.1,0.0,0.0,0.0,0.0,0.0
0,53,1,202,0,0,0,0.0,0.0,0.0,0.0,0.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,985.68,10.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,781.69,9.61,0.0,0.0,0.0,0.0,0.0
0,54,1,202,0,0,0,0.0,0.0,0.0,0.0,0.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1032.77,10.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,789.91,9.61,0.0,0.0,0.0,0.0,0.0
0,55,1,202,0,0,0,0.0,0.0,0.0,0.0,0.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1196.6101,10.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,911.545,9.61,0.0,0.0,0.0,0.0,0.0
0,56,1,202,0,0,0,0.0,0.0,0.0,0.0,0.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1098.4401,10.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,963.28,9.61,0.0,0.0,0.0,0.0,0.0
0,57,1,204,0,0,0,0.0,0.0,0.0,0.0,0.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,664.55,1.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,442.26498,6.64,0.0,0.0,0.0,0.0,0.0
0,58,1,204,0,0,0,0.0,0.0,0.0,0.0,0.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,705.12,2.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,469.97333,6.0,0.0,0.0,0.0,0.0,0.0
0,59,1,204,0,0,0,0.0,0.0,0.0,0.0,0.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,649.28503,4.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,378.03998,7.9,0.0,0.0,0.0,0.0,0.0
