;[m3/s]
;Q
2015-12-30;0.395
2015-12-31;0.427
2016-01-01;0.438
2016-01-02;0.591
2016-01-03;0.635
2016-01-04;1.45
2016-01-05;1.868
2016-01-06;2.296
2016-01-07;3.075
2016-01-08;2.825
2016-01-09;3.5
2016-01-10;3.8
2016-01-11;6.293
2016-01-12;6.171
2016-01-13;4.75
2016-01-14;3.363
2016-01-15;2.269
2016-01-16;1.7
2016-01-17;1.487
2016-01-18;1.213
2016-01-19;1.0
2016-01-20;0.915
2016-01-21;0.758
2016-01-22;0.686
2016-01-23;0.928
2016-01-24;1.0
2016-01-25;1.231
2016-01-26;1.505
2016-01-27;1.871
2016-01-28;2.452
2016-01-29;3.263
2016-01-30;2.938
2016-01-31;9.453
2016-02-01;7.557
2016-02-02;5.113
2016-02-03;4.488
2016-02-04;3.675
2016-02-05;4.25
2016-02-06;4.113
2016-02-07;3.638
2016-02-08;3.125
2016-02-09;3.563
2016-02-10;3.675
2016-02-11;3.075
2016-02-12;2.6
2016-02-13;2.988
2016-02-14;4.513
2016-02-15;4.213
2016-02-16;3.125
2016-02-17;2.381
2016-02-18;1.883
2016-02-19;1.691
2016-02-20;1.647
2016-02-21;2.331
2016-02-22;2.763
2016-02-23;3.5
2016-02-24;3.113
2016-02-25;2.913
2016-02-26;2.45
2016-02-27;2.24
2016-02-28;2.056
2016-02-29;1.85
2016-03-01;1.673
2016-03-02;3.318
2016-03-03;4.638
2016-03-04;3.963
2016-03-05;7.071
2016-03-06;5.075
2016-03-07;3.6
2016-03-08;2.701
2016-03-09;2.091
2016-03-10;1.771
2016-03-11;1.638
2016-03-12;1.638
2016-03-13;1.443
2016-03-14;1.425
2016-03-15;1.425
2016-03-16;1.24
2016-03-17;1.089
2016-03-18;0.993
2016-03-19;1.0
2016-03-20;1.0
2016-03-21;1.0
2016-03-22;0.993
2016-03-23;1.0
2016-03-24;1.0
2016-03-25;1.239
2016-03-26;1.425
2016-03-27;1.549
2016-03-28;1.656
2016-03-29;1.771
2016-03-30;1.965
2016-03-31;2.125
2016-04-01;1.999
2016-04-02;1.85
2016-04-03;1.726
2016-04-04;1.638
2016-04-05;1.745
2016-04-06;2.193
2016-04-07;1.762
2016-04-08;1.567
2016-04-09;1.425
2016-04-10;1.275
2016-04-11;1.213
2016-04-12;1.248
2016-04-13;1.676
2016-04-14;1.585
2016-04-15;2.979
2016-04-16;5.499
2016-04-17;29.306
2016-04-18;12.252
2016-04-19;6.515
2016-04-20;4.825
2016-04-21;3.515
2016-04-22;2.769
2016-04-23;2.663
2016-04-24;2.299
2016-04-25;2.024
2016-04-26;2.641
2016-04-27;3.188
2016-04-28;2.786
2016-04-29;2.428
2016-04-30;2.56
2016-05-01;4.445
2016-05-02;5.011
2016-05-03;4.442
2016-05-04;3.457
2016-05-05;2.734
