;[m3/s]
;Q
2015-08-02;0.225
2015-08-03;0.225
2015-08-04;0.225
2015-08-05;0.225
2015-08-06;0.225
2015-08-07;0.225
2015-08-08;0.225
2015-08-09;0.225
2015-08-10;0.21
2015-08-11;0.189
2015-08-12;0.189
2015-08-13;0.189
2015-08-14;0.228
2015-08-15;0.29
2015-08-16;0.307
2015-08-17;0.243
2015-08-18;0.225
2015-08-19;0.225
2015-08-20;0.225
2015-08-21;0.225
2015-08-22;0.195
2015-08-23;0.216
2015-08-24;0.398
2015-08-25;0.301
2015-08-26;0.233
2015-08-27;0.225
2015-08-28;0.225
2015-08-29;0.225
2015-08-30;0.225
2015-08-31;0.209
2015-09-01;0.24
2015-09-02;0.231
2015-09-03;0.189
2015-09-04;0.189
2015-09-05;0.189
2015-09-06;0.204
2015-09-07;0.189
2015-09-08;0.177
2015-09-09;0.161
2015-09-10;0.161
2015-09-11;0.161
2015-09-12;0.161
2015-09-13;0.161
2015-09-14;0.177
2015-09-15;0.173
2015-09-16;0.161
2015-09-17;0.367
2015-09-18;0.279
2015-09-19;0.194
2015-09-20;0.225
2015-09-21;0.197
2015-09-22;0.192
2015-09-23;0.371
2015-09-24;0.276
2015-09-25;0.192
2015-09-26;0.189
2015-09-27;0.189
2015-09-28;0.189
2015-09-29;0.173
2015-09-30;0.161
2015-10-01;0.161
2015-10-02;0.161
2015-10-03;0.161
2015-10-04;0.257
2015-10-05;0.225
2015-10-06;0.201
2015-10-07;0.191
2015-10-08;0.189
2015-10-09;0.17
2015-10-10;0.161
2015-10-11;0.161
2015-10-12;0.161
2015-10-13;0.161
2015-10-14;0.161
2015-10-15;0.161
2015-10-16;0.161
2015-10-17;0.161
2015-10-18;0.165
2015-10-19;0.141
2015-10-20;0.16
2015-10-21;0.161
2015-10-22;0.148
2015-10-23;0.138
2015-10-24;0.138
2015-10-25;0.138
2015-10-26;0.138
2015-10-27;0.142
2015-10-28;0.142
2015-10-29;0.18
2015-10-30;0.174
2015-10-31;0.161
2015-11-01;0.161
2015-11-02;0.15
2015-11-03;0.138
2015-11-04;0.138
2015-11-05;0.138
2015-11-06;0.138
2015-11-07;0.138
2015-11-08;0.138
2015-11-09;0.138
2015-11-10;0.138
2015-11-11;0.138
2015-11-12;0.138
2015-11-13;0.138
2015-11-14;0.138
2015-11-15;0.138
2015-11-16;0.138
2015-11-17;0.138
2015-11-18;0.151
2015-11-19;0.161
2015-11-20;4.115
2015-11-21;3.288
2015-11-22;1.283
2015-11-23;0.835
2015-11-24;0.642
2015-11-25;0.603
2015-11-26;0.581
2015-11-27;0.518
2015-11-28;0.471
2015-11-29;0.878
2015-11-30;3.274
2015-12-01;2.965
2015-12-02;1.877
2015-12-03;1.368
2015-12-04;1.098
2015-12-05;0.947
2015-12-06;0.831
2015-12-07;0.697
2015-12-08;0.619
2015-12-09;1.031
2015-12-10;0.822
2015-12-11;0.682
2015-12-12;0.618
2015-12-13;0.528
2015-12-14;0.531
2015-12-15;0.473
2015-12-16;0.536
2015-12-17;0.569
2015-12-18;0.478
2015-12-19;0.462
2015-12-20;0.402
2015-12-21;0.585
2015-12-22;0.591
2015-12-23;0.509
2015-12-24;0.457
2015-12-25;0.444
2015-12-26;0.426
2015-12-27;0.418
2015-12-28;0.404
2015-12-29;0.328
2015-12-30;0.355
2015-12-31;0.367
2016-01-01;0.364
2016-01-02;0.442
2016-01-03;0.541
2016-01-04;0.93
2016-01-05;1.07
2016-01-06;1.07
2016-01-07;1.2
2016-01-08;1.473
2016-01-09;1.9
2016-01-10;2.084
2016-01-11;3.766
2016-01-12;3.583
2016-01-13;2.608
2016-01-14;2.016
2016-01-15;1.686
2016-01-16;1.467
2016-01-17;1.312
2016-01-18;1.154
2016-01-19;1.066
2016-01-20;1.024
2016-01-21;0.916
2016-01-22;0.852
2016-01-23;0.961
2016-01-24;0.975
2016-01-25;1.028
2016-01-26;1.248
2016-01-27;1.931
2016-01-28;3.279
2016-01-29;4.04
2016-01-30;3.293
2016-01-31;8.067
2016-02-01;8.098
2016-02-02;4.922
2016-02-03;4.14
2016-02-04;3.28
2016-02-05;3.707
2016-02-06;3.1
2016-02-07;2.712
2016-02-08;2.802
2016-02-09;4.794
2016-02-10;4.468
2016-02-11;3.316
2016-02-12;2.672
2016-02-13;2.58
2016-02-14;3.636
2016-02-15;2.774
2016-02-16;2.229
2016-02-17;1.968
2016-02-18;1.758
2016-02-19;1.599
2016-02-20;1.658
2016-02-21;2.995
2016-02-22;2.547
2016-02-23;3.211
2016-02-24;2.986
2016-02-25;2.543
2016-02-26;2.146
2016-02-27;1.922
2016-02-28;1.767
2016-02-29;1.605
2016-03-01;1.455
