;[m3/s]
;Q
2016-01-01;0.076
2016-01-02;0.159
2016-01-03;0.156
2016-01-04;0.273
2016-01-05;0.318
2016-01-06;0.59
2016-01-07;0.766
2016-01-08;0.636
2016-01-09;0.736
2016-01-10;0.704
2016-01-11;1.761
2016-01-12;1.766
2016-01-13;1.369
2016-01-14;0.966
2016-01-15;0.695
2016-01-16;0.559
2016-01-17;0.462
2016-01-18;0.366
2016-01-19;0.325
2016-01-20;0.286
2016-01-21;0.243
2016-01-22;0.214
2016-01-23;0.446
2016-01-24;0.471
2016-01-25;0.514
2016-01-26;0.529
2016-01-27;0.538
2016-01-28;0.512
2016-01-29;0.628
2016-01-30;0.574
2016-01-31;2.237
2016-02-01;1.743
2016-02-02;1.139
2016-02-03;1.2
2016-02-04;0.984
2016-02-05;1.166
2016-02-06;1.093
2016-02-07;0.987
2016-02-08;0.86
2016-02-09;0.857
2016-02-10;0.761
2016-02-11;0.647
2016-02-12;0.625
2016-02-13;0.635
2016-02-14;0.857
2016-02-15;0.838
2016-02-16;0.72
2016-02-17;0.666
2016-02-18;0.611
2016-02-19;0.566
2016-02-20;0.516
2016-02-21;0.514
2016-02-22;0.471
2016-02-23;0.614
2016-02-24;0.611
2016-02-25;0.688
2016-02-26;0.711
2016-02-27;0.711
2016-02-28;0.664
2016-02-29;0.614
2016-03-01;0.545
2016-03-02;1.289
2016-03-03;1.85
2016-03-04;1.685
2016-03-05;2.795
2016-03-06;2.471
2016-03-07;1.611
2016-03-08;1.285
2016-03-09;1.093
2016-03-10;0.989
2016-03-11;0.88
2016-03-12;0.794
2016-03-13;0.726
2016-03-14;0.673
2016-03-15;0.635
2016-03-16;0.593
2016-03-17;0.53
2016-03-18;0.487
2016-03-19;0.448
2016-03-20;0.412
2016-03-21;0.378
2016-03-22;0.344
2016-03-23;0.344
2016-03-24;0.315
2016-03-25;0.374
2016-03-26;0.336
2016-03-27;0.333
2016-03-28;0.308
2016-03-29;0.297
2016-03-30;0.28
2016-03-31;0.27
2016-04-01;0.27
2016-04-02;0.245
2016-04-03;0.237
2016-04-04;0.237
2016-04-05;0.378
2016-04-06;0.603
2016-04-07;0.455
2016-04-08;0.407
2016-04-09;0.382
2016-04-10;0.341
2016-04-11;0.305
2016-04-12;0.389
2016-04-13;0.623
2016-04-14;0.529
2016-04-15;1.138
2016-04-16;2.791
2016-04-17;11.524
2016-04-18;5.393
2016-04-19;2.868
2016-04-20;1.813
2016-04-21;1.216
2016-04-22;0.934
2016-04-23;0.935
2016-04-24;0.773
2016-04-25;0.667
2016-04-26;1.042
2016-04-27;1.385
2016-04-28;1.165
2016-04-29;0.978
2016-04-30;0.964
2016-05-01;2.581
2016-05-02;2.432
2016-05-03;1.805
2016-05-04;1.221
2016-05-05;0.926
2016-05-06;0.747
2016-05-07;0.632
2016-05-08;0.554
2016-05-09;0.494
2016-05-10;0.453
2016-05-11;0.409
2016-05-12;0.762
2016-05-13;1.871
2016-05-14;2.418
2016-05-15;2.299
2016-05-16;1.509
2016-05-17;1.105
2016-05-18;0.86
2016-05-19;0.878
2016-05-20;0.655
2016-05-21;0.568
2016-05-22;0.537
2016-05-23;1.02
2016-05-24;1.323
2016-05-25;1.129
2016-05-26;0.903
2016-05-27;0.723
2016-05-28;0.611
2016-05-29;0.588
2016-05-30;0.733
2016-05-31;0.564
2016-06-01;0.475
2016-06-02;0.513
2016-06-03;0.497
2016-06-04;2.734
2016-06-05;2.177
2016-06-06;1.609
2016-06-07;1.04
2016-06-08;1.04
2016-06-09;0.953
2016-06-10;0.778
2016-06-11;0.741
2016-06-12;0.828
2016-06-13;0.936
2016-06-14;0.954
2016-06-15;1.317
2016-06-16;1.51
2016-06-17;1.612
2016-06-18;1.314
2016-06-19;1.092
2016-06-20;0.826
