model_run;-8_1;-7_1;-6_1;-5_1;-7_2;-5_2;-4_2;1-3_2;1.8-3_2;3-3_2;4-3_2;-7_3;-5_3;-4_3;1-3_3;1.8-3_3;3-3_3;4-3_3;-7_4;-5_4;-4_4;1.8-3_4;kf_riv;rhkp;rhkf;man;rch;offset;ME;50E;MAE;50AE;RBIAS;RABIAS;r_rank;r_lin;n_5m;n_3m;n_1m;MAE_sfr;ME_sfr;RBIAS_sfr;RABIAS_sfr;r_rank_sfr;r_lin_sfr;r_rank_multi;MAE_multi
60;533.6806;4.5346155;8.380126;5.7507644;2.9660394;1.8186327;1.4705297;6.3132944;0.27879393;3.190218;9.616948;2.1116176;0.8118361;1.5598292;6.3132944;0.22850658;3.190218;6.389333;1.106817;0.8118361;0.375783;0.22850658;1.0748563;0.000646054;0.000369623;0.90009505;0.95562196;1.0789533;;;;;;;;;;;;;;;;;;;
61;494.21924;2.9362984;1.3037261;8.9246235;3.8460324;1.4111471;0.9704584;3.086631;0.2465654;4.092991;9.5204115;2.203906;1.4111471;0.75603235;3.086631;0.2465654;3.8187559;8.404031;1.1208858;0.5876373;0.32563177;0.2465654;1.0198312;0.00097282;0.000114079;0.94649667;1.0523967;1.3693036;-2.9685393688750694;0.7048393988554551;6.711738328335029;2.032295697912673;0.2972974683790166;0.8373645818011687;0.7246907236691705;0.4416625628945889;0.8292682926829268;0.6829268292682927;0.2926829268292683;0.5505394161995785;-0.5505394161995785;-0.37444916775652815;0.37444916775652815;0.8571428571428572;0.9768202327469415;0.7170482848544872;5.48207032924182
62;513.04724;4.2512693;0.93467957;8.150454;3.2318075;1.2040985;0.74759483;1.9536698;0.21065637;4.5114617;9.309745;3.2318075;1.2040985;0.51756036;1.9536698;0.1303962;3.2269378;4.532853;0.9068279;0.8160411;0.2100792;0.1303962;1.1842136;0.00127788;0.000284935;1.0812827;0.91546696;1.2857549;;;;;;;;;;;;;;;;;;;
63;552.99976;1.2813219;1.0892663;3.6486368;2.9727995;1.1505543;2.174095;6.4811096;0.13423832;9.065163;8.011875;2.2006006;1.1505543;2.0587645;4.925587;0.13423832;9.040727;6.98072;1.0140721;0.6414258;0.38583636;0.13423832;1.1205289;0.000854841;7.12813e-05;1.0644695;1.019273;0.17733236;;;;;;;;;;;;;;;;;;;
64;526.94366;3.2890894;5.0123534;7.1652255;3.5440497;5.4218807;1.7836391;4.8322616;0.18382134;6.9907165;7.434253;2.1601002;0.50952363;1.9793029;0.11556848;0.12579542;2.3594363;4.0380893;0.8408032;0.50952363;0.16401926;0.12579542;1.0433931;0.000562877;7.09782e-05;1.0714211;0.974811;2.6933491;;;;;;;;;;;;;;;;;;;
65;510.71588;4.6971936;6.5727816;0.91507715;2.7860014;2.5456605;1.4497862;3.9120653;0.32345828;9.412867;8.700957;1.910454;0.5497749;2.457723;1.2548276;0.32345828;6.531093;6.889306;1.0217994;0.5497749;0.534796;0.155632;1.1045955;0.000821343;0.000289294;0.91318566;0.9882649;1.1374866;;;;;;;;;;;;;;;;;;;
66;511.84143;2.5855405;5.2813935;3.9270334;2.9344912;7.038249;2.0492067;3.681992;0.20872599;4.5755625;5.5623975;2.9344912;0.9168634;1.4573966;3.681992;0.11857722;2.5247033;5.5623975;0.8615242;0.6828869;0.96179986;0.11857722;1.1349525;0.000755982;0.000356357;1.0257338;1.056031;2.8223784;;;;;;;;;;;;;;;;;;;
67;460.79;4.8404026;7.061886;8.540317;2.3903193;5.293137;2.3303142;1.658666;0.39020836;8.983349;6.378737;2.3903193;1.6523162;0.85988814;1.658666;0.36456272;3.2653913;2.0799122;0.9616837;1.4481385;0.83376634;0.36456272;1.1228874;0.000608866;0.000425336;1.0217433;0.99579316;1.3908725;;;;;;;;;;;;;;;;;;;
68;406.16357;1.8827404;4.991384;2.275931;2.2484083;1.7506397;0.94785315;5.2052126;0.407115;8.333349;9.186561;1.7239228;1.7506397;1.3675619;0.3299394;0.22917593;4.992648;2.6907234;0.8896918;0.7808509;0.94931144;0.22917593;1.0835675;0.000602731;0.000443499;1.031729;1.0159266;0.19113514;;;;;;;;;;;;;;;;;;;
69;487.34348;1.4225352;1.2873306;4.1158967;2.0510454;0.95306975;1.1458209;4.385238;0.29065526;9.59119;2.454227;2.0510454;0.95306975;0.54764843;4.385238;0.29065526;5.8060255;2.454227;1.054976;0.95306975;0.34392586;0.29065526;1.0906644;0.001357149;0.000246059;0.95295155;0.9213864;0.81480837;;;;;;;;;;;;;;;;;;;
