model_run;-8;-7;-6;-5;-4;1-3;1.8-3;3-3;4-3;rch;offset;complete;ME;50E;MAE;50AE;RBIAS;r_rank;r_lin;n_5m
1116;146.61754;392.83832;174.17117;20.492136;4.6219225;1.5947663;1.0560591;1.3296479;1.0004348;0.7687254;0.0;0;-36.78755584483258;-15.785365696426538;37.48576515328335;15.785365696426538;-1.213031723710211;0.20044593143431833;0.18531554452469942;0.04878048780487805
1117;792.83057;140.49394;369.42117;99.6772;3.0875494;0.5575432;0.064868845;0.032036327;1.5997733;1.1710477;0.0;0;5.795205033926465;6.755664992423107;32.95677423831824;16.542432734800713;-4.560350946310145;0.008739332660352341;-0.3054184709755013;0.0975609756097561
1118;277.92584;864.52;448.53204;92.963646;2.4048436;1.4827384;0.93715274;0.78664786;1.1033777;1.1249144;0.0;0;-24.71518094387442;-12.166088646440897;28.437853940382013;12.55230038340315;-1.7293895927965526;0.36698441311987334;0.2922986599678326;0.24390243902439024
1119;886.00055;10.412747;672.1861;80.23837;7.6993465;0.94886696;1.1855267;1.8773448;1.1982876;1.1476998;0.0;0;-16.205889844881654;-15.36549401388126;17.600776348057785;15.919666019708075;-1.2205015626459863;0.18899664008959735;0.15987637243082545;0.07317073170731707
1120;666.8187;65.38146;901.75867;29.658392;0.12894686;1.7699729;0.21017426;0.90839064;0.448117;0.8984647;0.0;0;132.23254001954484;93.18768224705977;137.95198920998368;93.18768224705977;-33.025031464920644;-0.3653290352808512;-0.42713362959392437;0.04878048780487805
1121;120.72636;370.74057;554.87177;95.21502;2.6961398;0.7247067;1.9626582;1.6584854;0.2577532;1.1748539;0.0;0;-20.438359266916766;-8.008810017462736;23.61508411078126;9.16296488286764;-1.5234492025299058;0.3491535201005529;0.2546282144217521;0.2682926829268293
1122;834.204;690.0293;679.60443;3.022119;5.315546;1.8697972;0.018738119;1.73923;0.30659446;1.0955789;0.0;0;-27.729114990364483;-13.409398282820348;29.741455333895974;14.5384630988666;-1.4236077423820932;0.3562831181532157;0.22146739548593183;0.21951219512195122
1123;184.59282;348.28726;86.41773;18.885166;4.7666984;0.820795;0.54222673;0.6718301;1.9458802;1.2342706;0.0;0;-20.874651682866713;-7.5094165356370866;22.708011322885795;8.354750593526433;-1.493289399986813;0.3562831181532157;0.2462026650907063;0.34146341463414637
1124;429.26044;75.64969;954.92236;61.72569;9.402251;1.455209;1.2350869;1.7168722;0.18237035;0.7600056;0.0;0;-41.514004729030006;-18.8652971999972;42.56799347597576;18.8652971999972;-1.0478752445844508;0.20044593143431833;0.18531554452469942;0.0975609756097561
1125;556.6631;324.66162;322.0566;79.32137;8.438138;0.39843717;1.0003002;0.76109564;0.31149888;1.1452612;0.0;0;-34.05593429245057;-15.762244011447791;35.40462782813776;15.762244011447791;-1.2005659119522774;0.20044593143431833;0.18531554452469937;0.0975609756097561
