model_run;-8;-7;-6;-5;-4;1-3;1.8-3;3-3;4-3;rch;offset;complete;ME;50E;MAE;50AE;RBIAS;r_rank;r_lin;n_5m
1245;272.15912;100.25784;468.47913;33.758465;7.6004963;0.6132587;1.9838902;1.1680428;1.6911999;1.0810091;0.0;0;-20.82699986648351;-16.61899579653533;21.265966127892632;16.61899579653533;-1.1322598832287303;0.20179252118611385;0.18967942390624515;0.02564102564102564
1246;614.3802;938.1867;244.4895;53.532917;9.777534;0.63478684;1.1215707;1.8812304;1.3095391;1.156724;0.0;0;-25.770511956579185;-15.740374222763535;26.568056463700447;15.740374222763535;-1.216558739748003;0.20179252118611385;0.1896794239062452;0.07692307692307693
1247;213.3364;963.88617;495.75302;7.279414;4.9412804;1.0129431;0.72583807;0.34427765;1.3607587;1.139776;0.0;0;-17.789601816305602;-13.369612986895532;19.1525408726923;14.346854979196507;-1.375436412812009;0.2991688517571227;0.21578513066431154;0.15384615384615385
1248;889.4818;620.0947;257.70602;38.957794;2.5772214;0.39190325;1.2890549;1.7701272;1.614622;1.2318262;0.0;0;-7.700094830546531;-10.513270463081057;10.917228514018262;11.122643526948764;-1.7293733580733857;0.36478960513190817;0.29586851507711637;0.3333333333333333
1249;930.36993;384.8509;533.4381;81.482346;7.9178367;0.27352932;0.9116919;1.6108166;1.0568855;1.0779201;0.0;0;-21.814198409056505;-15.388184689638877;22.62628424316882;15.388184689638877;-1.2146086286829527;0.20179252118611385;0.18967942390624515;0.10256410256410256
1250;108.83275;834.90717;467.8831;17.401793;2.2235088;0.75100654;0.42556202;1.9881145;1.2716826;1.0489501;0.0;0;-6.929211303244672;-6.441788556784729;12.887033758861033;12.20673065713359;-2.264831020890392;0.5471550370862047;0.35326256838636894;0.28205128205128205
1251;116.328926;212.67276;782.69946;70.15752;5.0833282;0.26964617;0.7950934;0.79215413;1.8005714;1.2028332;0.0;0;-9.144893288523004;-8.177043203835467;10.466789675970688;8.210040529764655;-1.3763639041574673;0.2991688517571227;0.21572091914944957;0.23076923076923078
1252;124.17317;435.09842;247.68921;46.086906;8.468646;0.46921554;0.5798452;0.26242575;0.2589582;0.9307736;0.0;0;-23.68464074493343;-16.26709556487026;24.93428636162269;16.26709556487026;-1.1906015371781933;0.20179252118611385;0.18967942390624515;0.10256410256410256
1253;623.37354;363.4471;207.98534;7.163441;4.043947;1.0746974;1.2788092;0.038210545;0.120775424;0.9964426;0.0;0;-12.28583986867916;-10.104419273220117;14.215449396012655;11.316109653421194;-1.3420571110933877;0.2991688517571227;0.21269022507386195;0.1794871794871795
1254;130.74927;913.573;479.44348;17.81967;5.574208;1.5822886;1.6349715;1.5872658;1.9655578;1.1795669;0.0;0;-20.809702684594665;-14.386164897210676;21.748277194589264;14.7337857267363;-1.2724581628330365;0.20179252118611385;0.18967942390624515;0.10256410256410256
1255;853.8585;920.57965;59.99932;14.188971;1.2043047;0.45729545;0.5325284;0.28182644;1.7641804;1.2394835;0.0;0;6.85024008294298;11.14447565065393;14.826240535799506;14.89157311934602;-5.3694308348326665;0.4300866760972826;0.42832816130260815;0.1282051282051282
1256;756.7288;654.3771;237.04723;62.00981;0.5691181;1.5854123;1.24644;0.61896414;1.0328321;0.960634;0.0;0;-2.694275248838136;-2.805914155428866;10.18418238229663;9.761464855342524;-2.5998448334137865;0.384801011504559;0.3624074446028864;0.3076923076923077
1257;821.6108;119.63274;360.16788;8.823708;9.862962;0.040927812;1.4198749;1.974757;1.5637336;1.0448971;0.0;0;-25.12347304240917;-17.306739744899744;25.39325686524757;17.306739744899744;-1.0714031314379104;0.20179252118611385;0.18967942390624515;0.02564102564102564
1258;530.7999;487.37085;492.75342;82.32237;1.797168;1.9940752;0.7463215;0.88976896;1.7650225;1.1688609;0.0;0;1.127822936047179;2.1575408496489388;9.486909320415462;8.788261407466479;-2.5805661655398104;0.30243168873050935;0.33451329287712256;0.38461538461538464
1259;996.71045;252.87508;276.74234;80.68525;3.362135;1.0387086;0.98019594;0.47009936;0.9390442;1.0093766;0.0;0;-8.30464120837888;-8.422661707793054;10.209580706942837;8.661921911090985;-1.4499937192138102;0.35918992629332386;0.23064787394191583;0.23076923076923078
1260;53.733353;886.0665;565.03015;8.098193;5.051802;0.9570158;0.72404516;1.5089347;0.20493813;0.952268;0.0;0;-19.767163630859667;-12.88906257013133;21.2713056024995;12.943780491953618;-1.3067579219428411;0.2991688517571227;0.19502356228392217;0.15384615384615385
1261;407.25232;147.01877;879.6305;88.8309;3.7509713;1.3046062;0.75208086;0.55039185;0.9664828;0.7824326;0.0;0;-14.301720228570812;-13.700206989641288;15.373178543307707;14.790752105618651;-1.2739017720813264;0.20179252118611385;0.18967942390624515;0.15384615384615385
1262;330.6973;63.767174;548.29016;95.920166;0.9824172;0.9556001;0.8979709;1.0667335;0.70923203;0.8560281;0.0;0;20.468644183783333;6.602800143399122;28.062064209821155;14.411610052539885;-4.775178876547674;-0.13119472054990686;-0.45236272233946173;0.23076923076923078
1263;949.15906;707.38477;293.97113;4.442463;1.9771721;0.8219643;0.5978916;0.32309064;0.056052748;0.91571456;0.0;0;-5.227894715471115;-4.648532415932266;12.235880254919646;11.128206091230538;-2.410637283676133;0.3881160632935313;0.3193847315369228;0.28205128205128205
1264;581.09235;458.7532;71.36116;95.037926;4.9395423;0.74825674;0.98177665;0.9270575;1.9185038;0.95082253;0.0;0;-19.32904478984762;-14.456882528858472;20.306858048821557;15.338205638031411;-1.288009486370284;0.20179252118611385;0.18967942390624515;0.1282051282051282
1265;808.129;839.98126;145.29964;28.01827;4.3936276;1.9558877;1.506968;0.22614925;1.4344107;1.1381042;0.0;0;-18.142355672080075;-12.589341703041214;19.38950166604752;13.857091265334049;-1.3500228479180596;0.2991688517571227;0.20950538695204005;0.15384615384615385
1266;178.63779;83.88333;565.6052;66.50972;7.9839563;1.7243785;0.79465246;1.5484585;1.5737787;0.83340573;0.0;0;-24.764839319301853;-17.51958686389105;25.11732548806007;17.51958686389105;-1.1011520591675312;0.20179252118611385;0.18967942390624515;0.07692307692307693
1267;978.8478;803.06537;686.87177;17.564093;3.1247616;1.0097971;1.8914212;0.7366266;1.1975526;0.7861967;0.0;0;-22.670561000383834;-14.165118367406194;23.572535400763563;15.013469361473284;-1.2647025520172228;0.20179252118611385;0.18967942390624515;0.1282051282051282
1268;503.65314;46.961407;59.171265;81.76384;9.4037485;1.6745408;0.4438111;0.6444194;0.54565024;1.043889;0.0;0;-20.183563877461964;-17.291723717532932;20.964057474145147;17.291723717532932;-1.1134839483583523;0.20179252118611385;0.1896794239062452;0.10256410256410256
1269;498.73535;37.78931;193.69434;84.207146;2.8352754;0.30668786;0.90451443;1.9876337;1.1735575;0.75405145;0.0;0;-6.344177960361392;-8.683920192197064;10.80912580586978;11.202120899994043;-1.3815084763198189;0.0064457778339769576;0.1110836135870384;0.1794871794871795
1270;971.1759;466.7026;325.89047;97.8363;3.3196735;1.0635955;1.2073531;1.661108;1.3637401;1.2154322;0.0;0;-8.920426524892438;-10.38064208258794;11.476924060046567;11.286344798716073;-1.5703715319713178;0.36478960513190817;0.25887139349068145;0.23076923076923078
