model_run;-8_1;-7_1;-6_1;-5_1;-7_2;-5_2;-4_2;1-3_2;1.8-3_2;3-3_2;4-3_2;-7_3;-5_3;-4_3;1-3_3;1.8-3_3;3-3_3;4-3_3;-7_4;-5_4;-4_4;1.8-3_4;rch;offset;complete;ME;50E;MAE;50AE;RBIAS;r_rank;r_lin;n_5m;n_3m;n_1m
4447;494.4656;531.32983;688.30786;25.470716;918.2131;84.43317;3.7607841;1.5798683;0.018626703;1.4331725;1.9490625;883.4694;6.171036;9.1060505;1.5798683;0.018626703;0.6639448;1.3049275;60.15764;6.171036;7.3092246;0.018626703;1.0159907;0.0;0;-31.74113454772745;-12.791607236071087;33.564077584466986;12.974395128422998;-1.3713818109376934;0.19366322379551335;0.19060776651239822;0.07317073170731707;0.04878048780487805;0.0
4448;559.1723;254.91698;625.41766;94.79963;809.1093;52.974148;5.799748;1.2204494;1.1225619;0.075725436;0.053983595;542.51355;24.271788;6.3251877;1.1626198;1.1225619;0.075725436;0.053983595;68.16287;24.271788;1.9109389;0.5304854;1.1962285;0.0;0;-4.224555608422648;5.539686417215393;24.12700982173571;12.050057480013322;-3.495138143580807;0.004157447938116352;-0.0030297956998356357;0.21951219512195122;0.14634146341463414;0.04878048780487805
4449;30.056173;354.40237;733.2351;99.23522;956.92676;78.28588;2.7754679;1.584573;0.7305239;0.6491821;0.2677367;487.23355;78.28588;1.3495193;1.584573;0.7305239;0.6491821;0.2677367;37.65245;76.2097;1.9016068;0.7305239;0.7565193;0.0;0;-20.56204407092213;-8.898987176103532;24.774895222348402;12.281759355374106;-1.8027991920061215;0.2652100855419665;0.2910646005277414;0.2682926829268293;0.12195121951219512;0.024390243902439025
4450;843.8198;942.75964;795.9959;81.16271;929.7456;95.75996;2.8492742;1.8055402;1.8119937;1.1646616;1.6162179;859.8957;73.01909;5.6376443;0.40612584;0.17830805;0.95219725;0.71837795;43.975796;23.273046;2.4721742;0.17830805;1.0813389;0.0;0;-13.6622543332771;-2.2468046767170904;19.820064630718868;5.898697544386636;-2.368612116557899;0.5418483581583423;0.3538061727232628;0.4146341463414634;0.2682926829268293;0.07317073170731707
4451;973.9274;258.09256;912.309;5.5337586;834.19165;74.02615;5.137692;0.5068182;0.28571406;1.982108;1.52736;458.70407;38.149796;9.495439;0.33934867;0.28571406;1.2044629;1.52736;34.626896;38.149796;8.907936;0.28571406;1.0592159;0.0;0;-35.91586795913664;-16.057270106674252;36.757317071048604;16.057270106674252;-1.2440312784459664;0.20044593143431833;0.18531554452469942;0.07317073170731707;0.07317073170731707;0.0
4452;656.8708;803.0168;89.71067;72.890305;299.70627;64.314575;0.08292849;1.8297117;0.6740905;1.935416;0.9418232;299.70627;64.314575;1.6861203;1.4558882;0.13370053;1.1186538;0.9418232;63.881996;30.45332;4.7651615;0.13370053;0.8222811;0.0;0;-29.629549051899954;-14.115838136767707;31.06148694941195;14.555778270617964;-1.322992013470432;0.29632806532566497;0.19105406071741887;0.14634146341463414;0.07317073170731707;0.0
4453;663.8477;670.6969;575.8335;17.92473;182.58875;0.91862124;2.4886718;1.328572;1.5314392;1.2561128;0.77669954;166.3681;0.91862124;3.288564;1.328572;1.5314392;0.76032406;0.77669954;63.589924;0.91862124;7.9996357;0.32394746;1.1847273;0.0;0;-31.87246236667836;-15.37135340607577;32.539997105706334;15.37135340607577;-1.1579511403293818;0.20044593143431833;0.18531554452469942;0.04878048780487805;0.0;0.0
4454;532.7001;537.30286;751.28906;56.96521;729.7413;44.896294;1.5247715;1.1259487;0.4582148;0.68682426;0.6992337;690.9544;44.896294;6.4608426;0.4835291;0.4582148;0.535247;0.6992337;24.896124;44.896294;8.618541;0.4582148;0.9225649;0.0;0;-38.237671838647394;-16.809631228565422;39.178295137904094;16.809631228565422;-1.2303605243077638;0.20044593143431833;0.18531554452469937;0.07317073170731707;0.024390243902439025;0.0
4455;340.93066;146.13972;224.77205;89.38199;847.0737;26.878143;1.2074805;1.011387;0.6331782;1.1046054;1.9472294;834.73267;8.879857;5.699967;0.117141746;0.6331782;1.1046054;0.33331144;78.77926;8.879857;6.572864;0.6331782;0.798225;0.0;0;-35.62133893598185;-13.089643421241362;36.95169355465933;13.369646443738361;-1.263012942082819;0.20044593143431833;0.18531554452469942;0.24390243902439024;0.17073170731707318;0.07317073170731707
4456;157.48805;212.52504;270.98492;38.081543;824.8923;51.29104;3.8524406;0.9427532;1.5447712;1.8683999;1.7353518;515.1172;51.29104;1.838841;0.9427532;1.3811541;0.79941356;1.6627175;27.432951;17.610212;4.5757856;0.28746977;1.205855;0.0;0;-21.87680306372183;-8.822002543283702;23.81911890640559;9.338848041097691;-1.5264012563903409;0.3562831181532157;0.24157844251966246;0.24390243902439024;0.0975609756097561;0.024390243902439025
4457;588.2227;187.18785;274.2947;92.89128;647.1862;95.113335;1.0525745;0.15705688;1.4275391;1.3376737;0.5309049;289.675;49.021893;1.6179541;0.15705688;1.0580058;1.1646926;0.5309049;71.66615;17.685684;9.324337;1.0354499;1.1348125;0.0;0;-35.69984227173945;-15.775381809588453;36.81112387610603;15.775381809588453;-1.2221214864244485;0.20044593143431833;0.18531554452469942;0.0975609756097561;0.04878048780487805;0.024390243902439025
4458;54.49199;590.92633;576.6096;70.86639;831.56946;32.1127;1.5513499;0.11873446;0.7257682;0.30691758;0.92765564;831.56946;8.564417;1.478207;0.11873446;0.7257682;0.30691758;0.92765564;15.657342;8.564417;1.506585;0.7257682;0.8162924;0.0;0;-12.95351301021045;2.1093367155126828;21.68254579902098;7.572047794292018;-2.818459189648372;0.5404475446884581;0.38959241622187984;0.3170731707317073;0.07317073170731707;0.0
4459;826.25757;973.64935;372.50885;30.17108;710.09454;16.162128;6.6904693;0.6686408;0.94015455;1.9433726;1.4944452;650.0955;3.985925;5.36145;0.46347392;0.94015455;1.5854962;1.4459721;92.65671;3.985925;1.8745749;0.629439;1.078898;0.0;0;-12.131976194181847;0.4376092930732227;21.858216032129;7.8362805154201;-3.127069904136112;0.4554476855593464;0.41585156850572785;0.21951219512195122;0.17073170731707318;0.07317073170731707
4460;426.70258;878.46686;669.4338;9.582228;668.7122;82.60703;6.5169077;0.41507468;1.1091793;1.8053894;1.6513858;549.40674;56.68711;9.122516;0.41507468;1.1091793;1.8053894;1.2476202;15.406137;56.68711;4.9484196;0.28639227;0.871554;0.0;0;-31.440759327917604;-13.714636400407016;32.41009273317977;13.840189795683216;-1.2965429214913102;0.29632806532566497;0.1882323105906742;0.12195121951219512;0.0975609756097561;0.024390243902439025
4461;420.6067;34.999363;614.13727;81.5536;56.110733;99.05924;9.450732;0.18235697;1.7770365;0.44138768;0.2527457;56.110733;58.739155;5.022043;0.18235697;0.040591773;0.44138768;0.2527457;15.793185;29.783144;2.5156546;0.040591773;0.91108847;0.0;0;-1.1060678051702255;0.6252663090125736;24.750585082222166;9.385397796367386;-2.6852950430669407;-0.05685052314607125;-0.32565297591481646;0.3170731707317073;0.21951219512195122;0.0975609756097561
4462;333.89914;280.98935;660.5407;45.860134;465.86978;78.0291;9.203529;0.058630165;1.326397;1.3171227;1.9120682;340.75394;18.197334;4.103946;0.058630165;1.2813301;0.081916414;0.36070472;17.76121;18.197334;8.063173;0.9004267;0.9304901;0.0;0;-33.99839854734467;-13.177684867673804;35.219804216460005;13.177684867673804;-1.1909311963217535;0.20044593143431833;0.18531554452469942;0.24390243902439024;0.12195121951219512;0.0975609756097561
4463;969.66034;165.68489;259.79443;7.3620796;43.507652;13.92536;8.7406645;1.9569919;1.1890727;1.7576703;1.6405241;43.507652;13.92536;2.1013863;1.0073178;1.1890727;0.9526948;0.18374692;14.488049;13.92536;3.1359315;1.0029395;1.0608588;0.0;0;-0.45705868125598637;-0.49636642324375657;21.030652946756902;4.698495420824258;-2.380810689070331;-0.11726232266211228;-0.3122121654546843;0.5121951219512195;0.34146341463414637;0.07317073170731707
4464;183.16779;975.9211;769.69763;10.401923;101.44635;55.114414;6.912634;0.432067;1.6237668;0.44883493;1.0120629;101.44635;39.497917;8.860723;0.104977615;1.6237668;0.44883493;0.6811045;59.56812;39.497917;8.821871;0.5236359;1.1137185;0.0;0;-34.609775664617885;-15.026465607937268;35.21453509113253;15.026465607937268;-1.1304330049328248;0.20044593143431833;0.18531554452469942;0.0975609756097561;0.04878048780487805;0.0
4465;159.79474;243.25414;667.3952;96.69944;545.5946;40.578506;2.6732278;1.9695328;0.61561126;1.8480477;1.0062264;265.46997;1.1770476;9.866634;1.4365118;0.61561126;0.18992493;1.0062264;23.632406;1.1770476;7.6418324;0.61561126;1.2154213;0.0;0;-27.354198124901824;-14.019945823537768;28.267311231314537;15.143740450948513;-1.2752223166840615;0.20044593143431833;0.18531554452469937;0.12195121951219512;0.04878048780487805;0.024390243902439025
