[-];[-];[-];[-];[-];[-];[-];[-];[-];[-];[-];[-];[-];[-];[-];[-];[-];[-];[-];[-];[-];[-];[-];[m];
-8_1;-7_1;-6_1;-5_1;-7_2;-5_2;-4_2;1-3_2;1.8-3_2;3-3_2;4-3_2;-7_3;-5_3;-4_3;1-3_3;1.8-3_3;3-3_3;4-3_3;-7_4;-5_4;-4_4;1.8-3_4;rch;offset;complete
708.1137;818.65186;841.07623;85.872154;846.0492;0.71571726;7.3108077;0.2611671;0.91085684;1.6298312;1.2539426;13.305121;0.71571726;7.8295603;0.2611671;0.91085684;1.3015924;1.2539426;4.4306054;0.71571726;8.475044;0.21370815;0.8497065;0.0;0
782.92175;281.9387;181.28525;86.97559;47.209503;94.106834;2.609268;0.8160014;0.98688287;0.75310534;0.80206704;47.209503;9.040567;2.25011;0.52744275;0.98688287;0.3084475;0.80206704;15.720765;3.8366082;5.1532564;0.98688287;1.0598581;0.0;0
464.32663;553.7772;23.688644;80.24723;899.83795;28.189945;9.351132;1.5107139;1.1957712;1.3975247;1.2304012;310.93066;28.189945;1.139408;1.5107139;1.1957712;1.3975247;1.2304012;28.128134;28.189945;9.385173;1.1957712;1.2346816;0.0;0
573.0538;554.13745;394.20154;81.87527;975.86194;81.22529;6.4400244;0.60347015;0.8561708;1.0684154;0.70573175;608.98145;2.568051;0.68501353;0.3833707;0.4311717;1.0684154;0.70573175;67.522896;2.568051;4.193292;0.4311717;0.8913728;0.0;0
148.39903;606.61426;738.7035;87.97502;670.78064;4.4516463;2.0288203;0.9640422;1.454896;1.498955;1.7266693;289.9592;4.4516463;8.198441;0.9640422;1.3790637;1.498955;1.7266693;83.82668;4.4516463;0.7472134;0.33296955;0.78927255;0.0;0
123.38477;64.93113;972.01044;11.466815;984.4128;14.7770195;3.06736;0.2634639;0.019766139;0.10959234;1.4579877;732.7438;14.7770195;8.822376;0.2634639;0.019766139;0.10959234;1.4415032;53.654846;14.7770195;1.3352511;0.019766139;1.0505673;0.0;0
671.71893;176.93257;884.8173;29.334673;823.7719;85.692276;5.3351793;1.3995966;0.9712093;0.6787082;0.21088783;194.85986;48.57796;5.2650204;1.3995966;0.0651113;0.6787082;0.21088783;23.389952;48.57796;9.521664;0.0651113;0.9029044;0.0;0
476.38525;169.58032;489.23386;97.61374;53.921844;99.40972;8.819449;0.6421728;1.8468022;0.6782546;0.121778324;53.921844;23.599396;5.6505547;0.6421728;1.6396227;0.6782546;0.121778324;33.54615;23.599396;9.4011135;1.3847407;0.9259765;0.0;0
569.58374;309.03076;814.6891;54.52314;13.772835;5.287101;7.9695635;0.2790993;1.2356485;1.1976564;0.07650064;13.772835;5.287101;4.2277956;0.2790993;1.2356485;0.56051546;0.07650064;4.5863543;5.287101;9.138043;0.98822606;1.2454895;0.0;0
767.3489;153.46501;79.62715;17.728739;30.590504;16.846933;3.0274596;1.9097944;0.9779355;0.42319632;0.06479154;30.590504;16.846933;7.987221;1.6880628;0.9779355;0.18033566;0.06479154;10.186638;16.846933;7.517329;0.9779355;0.92515016;0.0;0
638.37115;922.7021;576.5496;50.35526;457.38788;72.3189;6.887978;1.5415487;1.5463294;1.0680708;0.9988509;140.6074;64.21777;8.737765;1.1832616;0.7576813;0.4270111;0.9988509;66.14556;62.428867;6.796024;0.7576813;0.91502506;0.0;0
558.0436;517.8249;925.0554;64.61384;627.1488;52.997345;0.026551733;1.3081322;0.79207146;1.9599204;0.36987522;390.69952;47.54182;3.1470726;0.90154;0.79207146;1.121705;0.36987522;93.394745;47.54182;8.37782;0.79207146;0.8526135;0.0;0
563.6151;627.3394;402.4213;82.83938;486.6571;40.65601;3.333084;1.4487693;0.9398188;0.0965768;1.3523204;486.6571;40.65601;9.006341;0.8311022;0.5869097;0.0965768;1.3523204;38.975075;6.534374;4.458544;0.5869097;1.1300075;0.0;0
310.91058;363.9133;960.49963;81.23646;680.359;19.527308;8.397556;0.85672975;0.39836785;1.0118532;0.970697;485.7922;19.527308;2.4246304;0.21165313;0.39836785;1.0118532;0.970697;88.56267;19.527308;5.4779477;0.39836785;1.048587;0.0;0
40.509655;283.48367;228.47824;5.019225;455.1066;94.548996;1.5205;0.6036789;0.25716627;0.2851938;0.19601901;455.1066;22.470264;2.2119217;0.6036789;0.25716627;0.2851938;0.19601901;81.250175;9.222036;8.984218;0.25716627;0.80598074;0.0;0
