model_run;c;rch;offset;complete;ME;50E;MAE;50AE;RBIAS;r_rank;r_lin;n_5m
4791;1.6924256;0.8104173;0.0;0;-30.990578007414918;-15.46818405215933;32.18205106087737;15.708507682821732;-1.3685400210962884;0.38637524941033624;0.23035008303080776;0.21951219512195122
4792;27.43024;0.76757765;0.0;0;-52.930918691202706;-19.573970988327204;53.11201964719377;19.573970988327204;-1.040753727427785;0.20044593143431833;0.18531554452469942;0.04878048780487805
4793;95.538666;0.77247673;0.0;0;-55.18916753982176;-19.934482681958627;55.232556838868994;19.934482681958627;-1.0;;;0.04878048780487805
4794;31.58999;0.8457931;0.0;0;-53.080244352036814;-19.799098848536318;53.23514946283564;19.799098848536318;-1.031330798769922;0.20044593143431833;0.18531554452469937;0.04878048780487805
4795;18.153631;1.0541042;0.0;0;-52.002077140796544;-19.29660937685722;52.22837884953525;19.29660937685722;-1.0570129267510695;0.20044593143431833;0.18531554452469937;0.04878048780487805
4796;18.761269;0.75882494;0.0;0;-52.2204724381461;-19.573499134507017;52.403849608553905;19.573499134507017;-1.0415725063563295;0.20044593143431833;0.18531554452469937;0.04878048780487805
4797;47.926533;0.89337194;0.0;0;-53.32494215810493;-19.666119424625663;53.49200403871432;19.666119424625663;-1.0357037202692798;0.20044593143431833;0.18531554452469942;0.04878048780487805
4798;84.266495;0.77908343;0.0;0;-53.31918801992314;-19.65945342399229;53.484885754692904;19.65945342399229;-1.0352130222661673;0.20044593143431833;0.18531554452469937;0.04878048780487805
4799;75.8026;0.9518294;0.0;0;-53.59928615698586;-19.841154938700242;53.768974172109324;19.841154938700242;-1.0366483692390107;0.20044593143431833;0.18531554452469937;0.04878048780487805
4800;43.690834;0.77428836;0.0;0;-53.93557085363207;-19.934106195570166;53.984930799682076;19.934106195570166;-1.0;;;0.04878048780487805
4801;20.880602;1.0537709;0.0;0;-51.678226878682125;-19.382684692513493;51.8713661084275;19.382684692513493;-1.04508402461492;0.20044593143431833;0.18531554452469942;0.04878048780487805
4802;4.6160293;1.0942122;0.0;0;-42.510166845907435;-16.448972550695544;42.99298864135182;16.448972550695544;-1.149285974579741;0.20044593143431833;0.18531554452469934;0.0975609756097561
4803;46.268406;1.1156688;0.0;0;-53.01599135604002;-19.573143784751437;53.20760421079908;19.573143784751437;-1.0445349710342702;0.20044593143431833;0.18531554452469942;0.04878048780487805
4804;81.479385;0.8621717;0.0;0;-53.73999081925228;-19.905623685189738;53.91109958422377;19.905623685189738;-1.0371594283157626;0.20044593143431833;0.18531554452469937;0.04878048780487805
4805;72.9709;1.1842501;0.0;0;-52.87241716083219;-19.57280989946159;53.04979870868152;19.57280989946159;-1.0394158161173541;0.20044593143431833;0.18531554452469942;0.04878048780487805
4806;40.86599;1.095144;0.0;0;-52.84609806352666;-19.57300023323552;53.01801825572724;19.57300023323552;-1.0374513074605147;0.20044593143431833;0.18531554452469937;0.04878048780487805
4807;59.47432;0.7783251;0.0;0;-52.87188356608988;-19.573230724929516;53.04607874466083;19.573230724929516;-1.0382696446475062;0.20044593143431833;0.18531554452469937;0.04878048780487805
4808;43.63029;0.97038335;0.0;0;-53.01498937051971;-19.573382968948636;53.189357841486924;19.573382968948636;-1.0383319797955042;0.20044593143431833;0.18531554452469937;0.04878048780487805
4809;57.90582;1.1338782;0.0;0;-53.24009352138137;-19.62585276822921;53.402860688250726;19.62585276822921;-1.0341588653168508;0.20044593143431833;0.18531554452469942;0.04878048780487805
4810;51.75535;0.90544695;0.0;0;-53.26526627955636;-19.642184447222405;53.413455481852296;19.642184447222405;-1.0289150138914016;0.20044593143431833;0.18531554452469942;0.04878048780487805
4811;68.09985;0.9407794;0.0;0;-53.52657879806291;-19.79961980194281;53.69068718390398;19.79961980194281;-1.0346413162777752;0.20044593143431833;0.18531554452469942;0.04878048780487805
4812;50.775806;1.0648019;0.0;0;-53.13797290471637;-19.57341218286649;53.29430205859266;19.57341218286649;-1.0318430424569005;0.20044593143431833;0.18531554452469937;0.04878048780487805
4813;94.06169;0.7777404;0.0;0;-53.76142113855189;-19.935043306439866;53.91280642966878;19.935043306439866;-1.0300646815857597;0.20044593143431833;0.18531554452469942;0.04878048780487805
4814;42.808537;1.2334676;0.0;0;-53.17951104268984;-19.57309815586126;53.37848854256175;19.57309815586126;-1.0471841134833668;0.20044593143431833;0.18531554452469937;0.04878048780487805
4815;1.6014712;0.8372405;0.0;0;-28.75947001065231;-15.261266816014796;30.30778888260518;15.341566799727616;-1.4735919413376046;0.4371185542344132;0.26050877689367313;0.24390243902439024
4816;23.644989;0.763336;0.0;0;-52.64364083872751;-19.573738118908494;52.83875661630699;19.573738118908494;-1.045795010234699;0.20044593143431833;0.18531554452469942;0.04878048780487805
4817;50.06568;0.75266147;0.0;0;-53.50260255708678;-19.779847691090623;53.666828137683375;19.779847691090623;-1.0346834724980505;0.20044593143431833;0.18531554452469942;0.04878048780487805
4818;54.06178;0.9497772;0.0;0;-53.14795730162749;-19.57361109167573;53.315934587362456;19.57361109167573;-1.0360330013872607;0.20044593143431833;0.18531554452469937;0.04878048780487805
