model_run;c;rch;offset;complete;ME;50E;MAE;50AE;RBIAS;r_rank;r_lin;n_5m
2411;97.4593;1.1186323;0.0;0;-36.57883907826486;-19.58594773260188;36.80539610514797;19.58594773260188;-1.0558539857086777;0.20179252118611385;0.18967942390624515;0.05128205128205128
2412;41.697086;0.797579;0.0;0;-36.309787851630865;-19.582288966552483;36.52559513745538;19.582288966552483;-1.0519871876595108;0.20179252118611385;0.18967942390624515;0.05128205128205128
2413;53.748383;1.0474972;0.0;0;-35.986369688106834;-19.58838601669305;36.311778280537396;19.58838601669305;-1.0914119622899185;0.20179252118611385;0.18967942390624515;0.02564102564102564
2414;48.71667;1.0790969;0.0;0;-39.04162796570564;-20.830541844058303;39.04162796570564;20.830541844058303;-1.0;;;0.07692307692307693
2415;10.737633;1.1677841;0.0;0;-32.13385758132269;-18.15108964003545;32.54639614758956;18.15108964003545;-1.1227535556378625;0.20179252118611385;0.18967942390624515;0.02564102564102564
2416;23.677832;0.8530456;0.0;0;-35.2697046378216;-19.588242373770726;35.61994994995224;19.588242373770726;-1.1003459988179163;0.20179252118611385;0.18967942390624515;0.02564102564102564
2417;52.76836;1.1888174;0.0;0;-36.2801904772729;-19.108094568482045;36.51568525570042;19.108094568482045;-1.0590689915443965;0.20179252118611385;0.18967942390624515;0.05128205128205128
2418;6.7467566;0.98074055;0.0;0;-30.466444654042725;-16.757911089617664;30.95542523580991;16.757911089617664;-1.1502505748497465;0.20179252118611385;0.18967942390624515;0.07692307692307693
2419;93.14688;0.7982618;0.0;0;-36.624431783483125;-19.589599461828215;36.88168042929221;19.589599461828215;-1.0668940927718935;0.20179252118611385;0.18967942390624515;0.02564102564102564
2420;12.393129;0.8028106;0.0;0;-33.885510511188535;-18.545353486173383;34.32351924482738;18.545353486173383;-1.1319154501401623;0.20179252118611385;0.18967942390624515;0.02564102564102564
2421;19.806095;0.8489022;0.0;0;-35.05948367800057;-19.58712630280246;35.386295348157915;19.58712630280246;-1.0919166645136467;0.20179252118611385;0.18967942390624515;0.02564102564102564
2422;76.53447;0.89137536;0.0;0;-36.368596145920506;-19.5890356775611;36.67228235882182;19.5890356775611;-1.0835981875832426;0.20179252118611385;0.18967942390624515;0.02564102564102564
2423;9.702485;0.9982029;0.0;0;-33.444364522699225;-18.49862749226986;33.599561636985996;18.49862749226986;-1.0301850538421202;0.20179252118611385;0.18967942390624515;0.07692307692307693
2424;90.02881;1.1243756;0.0;0;-37.283336912362024;-19.57303704425965;37.41034416863935;19.57303704425965;-1.0200448572212861;0.20179252118611385;0.1896794239062452;0.05128205128205128
2425;72.57284;0.8433629;0.0;0;-37.286146382625006;-19.573945230280174;37.42343831089691;19.573945230280174;-1.0237443649013473;0.20179252118611385;0.18967942390624515;0.05128205128205128
2426;6.8713994;1.2463259;0.0;0;-29.369771292392823;-16.754405689594876;29.788481325263056;16.754405689594876;-1.1249734988804312;0.20179252118611385;0.18967942390624515;0.10256410256410256
2427;69.18779;0.83076096;0.0;0;-36.75906905736853;-19.587125439057502;36.91964593285656;19.587125439057502;-1.03212021209427;0.20179252118611385;0.18967942390624515;0.05128205128205128
2428;63.16654;1.0496889;0.0;0;-36.30693722057743;-19.586506266048843;36.53439658826503;19.586506266048843;-1.0561785674491542;0.20179252118611385;0.18967942390624515;0.05128205128205128
2429;75.73737;1.2144703;0.0;0;-36.24946519426103;-19.587876840042327;36.51633299429092;19.587876840042327;-1.0703542065153684;0.20179252118611385;0.18967942390624515;0.02564102564102564
2430;82.8215;1.1662537;0.0;0;-36.235881287130866;-19.589794428999852;36.52923115264817;19.589794428999852;-1.0798800917070634;0.20179252118611385;0.18967942390624515;0.02564102564102564
2431;71.837875;1.0739446;0.0;0;-36.473940496083564;-19.584459693843087;36.68601452418855;19.584459693843087;-1.0506442945062506;0.20179252118611385;0.18967942390624515;0.05128205128205128
2432;58.62177;1.1077465;0.0;0;-36.045297060896694;-19.589871498542664;36.33147797365112;19.589871498542664;-1.0773013419114215;0.20179252118611385;0.1896794239062452;0.02564102564102564
2433;32.25311;0.8171028;0.0;0;-35.83083881571098;-19.588327918338166;36.12241236684528;19.588327918338166;-1.0792411322239022;0.20179252118611385;0.18967942390624515;0.02564102564102564
2434;69.73039;0.75483155;0.0;0;-36.246639721718346;-19.59325962205307;36.475976112359284;19.59325962205307;-1.0568537528935893;0.20179252118611385;0.18967942390624515;0.05128205128205128
2435;95.697586;0.9670744;0.0;0;-37.52158386860085;-19.571141635850836;37.618823011804075;19.571141635850836;-1.009336945194862;0.20179252118611385;0.18967942390624515;0.05128205128205128
2436;58.7563;0.79475945;0.0;0;-36.21713804416437;-19.590046423147612;36.539505484610295;19.590046423147612;-1.090318027050238;0.20179252118611385;0.18967942390624515;0.02564102564102564
2437;66.43784;0.9288763;0.0;0;-36.583807250144126;-19.584120989725307;36.77702560849606;19.584120989725307;-1.0438617062913897;0.20179252118611385;0.18967942390624515;0.05128205128205128
2438;43.718433;0.8618714;0.0;0;-36.9110518672452;-19.573721487438405;37.06501983384336;19.573721487438405;-1.0297429161330764;0.20179252118611385;0.18967942390624515;0.05128205128205128
2439;75.61452;1.2081734;0.0;0;-36.17702641151184;-19.58873384842397;36.48478577574436;19.58873384842397;-1.0850633441424264;0.20179252118611385;0.18967942390624523;0.02564102564102564
2440;99.76676;1.190028;0.0;0;-36.37273861072035;-19.58938125692481;36.668411553749884;19.58938125692481;-1.0807157277975872;0.20179252118611385;0.18967942390624515;0.02564102564102564
2441;16.047329;1.1594714;0.0;0;-33.69966503042566;-19.109623943274215;34.08097241409751;19.109623943274215;-1.1115193616909265;0.20179252118611385;0.18967942390624515;0.02564102564102564
2442;20.248505;1.1069721;0.0;0;-33.90686333734833;-18.15165429819976;34.402269403268605;18.15165429819976;-1.1525618909505453;0.20179252118611385;0.18967942390624515;0.07692307692307693
2443;53.948383;0.82703596;0.0;0;-36.41051774263398;-19.936070808065722;36.47389661060083;19.936070808065722;-1.0;;;0.05128205128205128
2444;48.142727;0.7741837;0.0;0;-36.16682102499423;-19.589934555959672;36.465322284528824;19.589934555959672;-1.0817331038147908;0.20179252118611385;0.18967942390624523;0.02564102564102564
2445;57.161263;1.0769439;0.0;0;-35.979860603442276;-19.588884872704767;36.316909502157294;19.588884872704767;-1.0955991062766521;0.20179252118611385;0.18967942390624518;0.02564102564102564
2446;4.916914;1.0711291;0.0;0;-27.262340132707525;-16.27771548978103;27.853547794944316;16.27771548978103;-1.1870227606333073;0.20179252118611385;0.18967942390624515;0.07692307692307693
2447;40.4336;0.9347122;0.0;0;-36.38923279911438;-19.580021664594994;36.585579786262244;19.580021664594994;-1.044987107885595;0.20179252118611385;0.1896794239062452;0.05128205128205128
2448;58.302;0.9863433;0.0;0;-36.36647221309301;-19.48415692681226;36.588121752464495;19.48415692681226;-1.0540887094073388;0.20179252118611385;0.18967942390624515;0.05128205128205128
2449;58.523285;0.99457467;0.0;0;-36.06463052219424;-19.589222069421567;36.39618208658549;19.589222069421567;-1.093621655701528;0.20179252118611385;0.18967942390624515;0.02564102564102564
2450;65.736824;0.86996406;0.0;0;-38.31341408978234;-19.93297981491682;38.31341408978234;19.93297981491682;-1.0;;;0.07692307692307693
2451;72.0244;0.90708333;0.0;0;-36.609204251631304;-19.585011847180454;36.82539818627851;19.585011847180454;-1.0521262694201876;0.20179252118611385;0.1896794239062452;0.05128205128205128
2452;64.1583;0.9591948;0.0;0;-36.24384903098906;-19.58902503393591;36.544267167583335;19.58902503393591;-1.0824226252120486;0.20179252118611385;0.18967942390624515;0.02564102564102564
2453;79.02641;1.0515895;0.0;0;-36.41112217602272;-19.58773735444612;36.67305118741653;19.58773735444612;-1.0685776708612416;0.20179252118611385;0.18967942390624515;0.02564102564102564
