model_run;-8_1;-7_1;-6_1;-5_1;-7_2;-5_2;-4_2;1-3_2;1.8-3_2;3-3_2;4-3_2;-7_3;-5_3;-4_3;1-3_3;1.8-3_3;3-3_3;4-3_3;-7_4;-5_4;-4_4;1.8-3_4;kf_riv;rhk;rch;offset;complete;ME;50E;MAE;50AE;RBIAS;RABIAS;r_rank;r_lin;n_5m;n_3m;n_1m;MAE_sfr;ME_sfr;RBIAS_sfr;RABIAS_sfr;E_multi
224;457.28925;77.3959;8.897952;7.5324802;55.844864;2.89731;1.7622252;1.449289;1.7439892;0.5689907;1.868996;55.844864;1.6926088;0.8188129;1.296519;0.8758869;0.5689907;1.859873;49.819874;1.2911686;1.9962302;0.8758869;2.7434127;0.009963047;0.95959675;0.0;0;;;;;;;;;;;;;;;;
225;584.9617;77.243774;8.440428;6.5551147;59.27284;2.073006;0.718923;0.9844971;1.5198805;0.8529566;0.6201954;58.614017;1.6861032;1.1480777;0.98165715;1.5198805;0.8529566;0.6201954;33.82929;1.6861032;1.7680473;1.4322991;4.656849;0.009750453;1.001696;0.0;0;;;;;;;;;;;;;;;;
226;404.9719;77.38008;7.9907255;4.8155274;50.302467;3.2904642;0.8135691;1.177697;0.96501034;1.2320322;0.7550549;50.302467;1.3736025;1.2252792;1.177697;0.96501034;1.2320322;0.5004473;48.98788;0.6131903;0.9013231;0.96501034;4.643883;0.009225242;0.95412624;0.0;0;;;;;;;;;;;;;;;;
227;511.0396;70.7402;8.127974;6.4480577;59.680176;6.961308;1.7904783;1.4843998;1.2524593;0.8092376;1.1217992;50.6169;0.53885853;1.2043233;1.4843998;1.2524593;0.8092376;1.0887734;42.85041;0.53885853;0.51545537;1.2524593;4.534729;0.009501995;1.0352094;0.0;0;;;;;;;;;;;;;;;;
228;526.79504;70.63271;3.5986278;4.546124;55.251793;6.4961853;1.9484563;0.88354695;1.1812706;0.9852134;1.1655848;54.89445;0.9110131;0.76820326;0.88354695;1.1812706;0.9852134;0.57099676;39.4123;0.9110131;0.93267834;0.5293201;3.4463866;0.009190986;0.96281403;0.0;0;;;;;;;;;;;;;;;;
229;421.17947;73.6112;4.5994067;5.0281186;57.807465;2.4629478;1.2264504;0.98729146;0.5724411;1.9824568;1.8629293;50.85029;1.2427573;0.96191573;0.98729146;0.5724411;1.5775095;1.6706902;33.191227;0.9445683;1.7219263;0.5724411;4.4832134;0.009699377;1.0465432;0.0;0;;;;;;;;;;;;;;;;
230;428.06793;75.27597;1.9469995;9.190135;54.730446;5.369499;0.68846095;0.74887437;1.03772;1.9034977;1.449689;51.854347;1.5356554;0.61230713;0.74887437;1.03772;1.3697671;1.298252;33.102688;1.1209153;1.9770439;0.93676853;2.4568841;0.009628397;1.0261147;0.0;0;;;;;;;;;;;;;;;;
231;483.82288;77.62619;8.458383;6.031123;58.159077;2.8453045;0.9193341;1.4022886;0.6830084;1.264546;1.3584945;54.580605;0.6226981;0.850728;0.80690926;0.6830084;1.264546;1.1718652;36.986813;0.6226981;1.2659112;0.6830084;2.8574402;0.009747127;1.0120326;0.0;0;;;;;;;;;;;;;;;;
232;593.2464;73.34708;6.778659;1.8137395;58.805588;9.417352;1.0074055;1.768361;0.7557536;1.7568332;1.5757232;58.805588;1.026661;1.8646028;1.1106507;0.7557536;1.364098;0.93068594;41.332558;1.026661;1.2989738;0.7557536;2.1124127;0.009071685;1.0035857;0.0;0;;;;;;;;;;;;;;;;
233;519.2085;72.75117;6.4757223;5.666268;53.816742;7.4896216;1.4467634;1.8771601;1.0058535;0.9204642;0.5992407;53.013523;1.0051614;0.82926136;1.8771601;1.0058535;0.9204642;0.5992407;49.850178;1.0051614;0.95705533;1.0058535;3.8049316;0.0098892795;1.0150485;0.0;0;;;;;;;;;;;;;;;;
234;586.6046;77.81448;3.1393101;9.574668;57.226322;2.4772909;1.5825912;1.9139941;1.9934947;1.618746;1.2917197;57.226322;0.71109474;1.2722342;1.1801542;1.0357885;1.4984574;0.5218343;36.95937;0.5047996;1.6631702;0.5519795;4.3710895;0.0099432925;0.9809179;0.0;0;;;;;;;;;;;;;;;;
235;560.8722;72.49337;6.4968286;1.8103901;59.98618;3.536382;1.4101505;1.6693021;1.3923882;1.8433175;1.5282664;58.821785;1.1704286;1.9001086;1.4192579;1.3923882;1.0954479;1.3655403;35.885838;1.1704286;1.8858682;0.6433423;1.7267528;0.009069042;1.044127;0.0;0;;;;;;;;;;;;;;;;
236;493.47632;78.20841;5.036421;9.737804;57.571316;8.663022;1.8354856;1.2095617;0.96459377;1.7496827;1.7795604;55.377266;1.6209021;1.2225325;1.2095617;0.96459377;1.3299085;0.6561103;49.96976;1.1704483;0.8664023;0.96459377;2.5733209;0.009398396;0.98655;0.0;0;;;;;;;;;;;;;;;;
